blend,price_in,price_out,cached_frac,calls_per_episode,total_episode_runs,total_calls,usd_in,usd_out,usd_total
0.5/1.5,0.5,1.5,0.0,2.5,120300,300750.0,300.75,135.34,436.09
0.5/1.5,0.5,1.5,0.0,4.0,120300,481200.0,481.2,216.54,697.74
0.5/1.5,0.5,1.5,0.75,2.5,120300,300750.0,97.74,135.34,233.08
0.5/1.5,0.5,1.5,0.75,4.0,120300,481200.0,156.39,216.54,372.93
1/4,1.0,4.0,0.0,2.5,120300,300750.0,601.5,360.9,962.4
1/4,1.0,4.0,0.0,4.0,120300,481200.0,962.4,577.44,1539.84
1/4,1.0,4.0,0.75,2.5,120300,300750.0,195.49,360.9,556.39
1/4,1.0,4.0,0.75,4.0,120300,481200.0,312.78,577.44,890.22
2/10,2.0,10.0,0.0,2.5,120300,300750.0,1203.0,902.25,2105.25
2/10,2.0,10.0,0.0,4.0,120300,481200.0,1924.8,1443.6,3368.4
2/10,2.0,10.0,0.75,2.5,120300,300750.0,390.98,902.25,1293.22
2/10,2.0,10.0,0.75,4.0,120300,481200.0,625.56,1443.6,2069.16
3/15,3.0,15.0,0.0,2.5,120300,300750.0,1804.5,1353.38,3157.88
3/15,3.0,15.0,0.0,4.0,120300,481200.0,2887.2,2165.4,5052.6
3/15,3.0,15.0,0.75,2.5,120300,300750.0,586.46,1353.38,1939.84
3/15,3.0,15.0,0.75,4.0,120300,481200.0,938.34,2165.4,3103.74
realistic_15model,1.0,4.57,0.0,2.5,120300,300750.0,601.5,412.33,1013.83
realistic_15model,1.0,4.57,0.0,4.0,120300,481200.0,962.4,659.73,1622.13
realistic_15model,1.0,4.57,0.75,2.5,120300,300750.0,195.49,412.33,607.82
realistic_15model,1.0,4.57,0.75,4.0,120300,481200.0,312.78,659.73,972.51
