score,model,n_shared_episodes,n_participants,coverage,unfaithful_of_all,risk_among_acted,parse_failure,n_executed,n_unfaithful
product,anthropic/claude-sonnet-5,500,46,0.54,0.11,0.2037037037037037,0.1,270,55
recalibrated,anthropic/claude-sonnet-5,500,46,0.646,0.144,0.22291021671826625,0.064,323,72
product,deepseek/deepseek-v4-flash,1065,47,0.996244131455399,0.2995305164319249,0.3006597549481621,0.0028169014084507044,1061,319
recalibrated,deepseek/deepseek-v4-flash,1065,47,0.9971830985915493,0.30140845070422534,0.3022598870056497,0.0018779342723004694,1062,321
product,google/gemini-3.7-flash,1065,47,0.6234741784037559,0.08544600938967137,0.13704819277108435,0.307981220657277,664,91
recalibrated,google/gemini-3.7-flash,1065,47,0.7061032863849765,0.13145539906103287,0.18617021276595744,0.23661971830985915,752,140
product,openai/gpt-5.6-luna,1065,47,0.9981220657276996,0.3004694835680751,0.30103480714957664,0.0,1063,320
recalibrated,openai/gpt-5.6-luna,1065,47,1.0,0.30140845070422534,0.30140845070422534,0.0,1065,321
product,z-ai/glm-5.3-flash,1065,47,0.6131455399061033,0.10046948356807511,0.1638591117917305,0.2056338028169014,653,107
recalibrated,z-ai/glm-5.3-flash,1065,47,0.6938967136150235,0.13802816901408452,0.19891745602165087,0.17370892018779344,739,147
