n,coverage,risk,n_unfaithful,parse_failure,err_prevalence,model,cell,arm
200,0.62,0.0,0,0.08,0.34,anthropic/claude-sonnet-5,factorial:decoder_confidence:advisory:s0,factorial:decoder_confidence:advisory:s0
200,0.67,0.0,0,0.025,0.34,anthropic/claude-sonnet-5,factorial:decoder_confidence:enforced:s0,factorial:decoder_confidence:enforced:s0
200,0.695,0.0,0,0.05,0.34,anthropic/claude-sonnet-5,factorial:none:advisory:s0,factorial:none:advisory:s0
200,0.895,0.0223463687150838,4,0.01,0.34,deepseek/deepseek-v4-flash,factorial:decoder_confidence:advisory:s0,factorial:decoder_confidence:advisory:s0
200,0.88,0.017045454545454544,3,0.015,0.34,deepseek/deepseek-v4-flash,factorial:decoder_confidence:enforced:s0,factorial:decoder_confidence:enforced:s0
200,0.855,0.023391812865497075,4,0.02,0.34,deepseek/deepseek-v4-flash,factorial:none:advisory:s0,factorial:none:advisory:s0
200,0.74,0.0,0,0.17,0.34,google/gemini-3.7-flash,factorial:decoder_confidence:advisory:s0,factorial:decoder_confidence:advisory:s0
200,0.895,0.00558659217877095,1,0.05,0.34,google/gemini-3.7-flash,factorial:decoder_confidence:enforced:s0,factorial:decoder_confidence:enforced:s0
200,0.885,0.005649717514124294,1,0.08,0.34,google/gemini-3.7-flash,factorial:none:advisory:s0,factorial:none:advisory:s0
200,0.715,0.0,0,0.0,0.34,openai/gpt-5.6-luna,factorial:decoder_confidence:advisory:s0,factorial:decoder_confidence:advisory:s0
200,0.675,0.0,0,0.005,0.34,openai/gpt-5.6-luna,factorial:decoder_confidence:enforced:s0,factorial:decoder_confidence:enforced:s0
200,0.695,0.0,0,0.0,0.34,openai/gpt-5.6-luna,factorial:none:advisory:s0,factorial:none:advisory:s0
200,0.78,0.0,0,0.08,0.34,z-ai/glm-5.3-flash,factorial:decoder_confidence:advisory:s0,factorial:decoder_confidence:advisory:s0
200,0.86,0.0,0,0.05,0.34,z-ai/glm-5.3-flash,factorial:decoder_confidence:enforced:s0,factorial:decoder_confidence:enforced:s0
200,0.86,0.0,0,0.06,0.34,z-ai/glm-5.3-flash,factorial:none:advisory:s0,factorial:none:advisory:s0
200,0.66,0.0,0,,0.34,__none__,natural_confidence_gate_canonical,natural_confidence_gate_canonical
200,0.94,0.0,0,,0.34,__none__,natural_confidence_gate_lexical,natural_confidence_gate_lexical
200,0.66,0.0,0,,0.34,__none__,natural_random_gate_canonical,natural_random_gate_canonical
