score,model,n,coverage,conditional fidelity,unfaithful of all,parse failure,executed,unfaithful executions
product,anthropic/claude-sonnet-5,500,0.54,0.7963,0.11,0.1,270,55
product,deepseek/deepseek-v4-flash,1065,0.9962,0.6993,0.2995,0.0028,1061,319
product,google/gemini-3.7-flash,1065,0.6235,0.863,0.0854,0.308,664,91
product,openai/gpt-5.6-luna,1065,0.9981,0.699,0.3005,0.0,1063,320
product,z-ai/glm-5.3-flash,1065,0.6131,0.8361,0.1005,0.2056,653,107
recalibrated,anthropic/claude-sonnet-5,500,0.646,0.7771,0.144,0.064,323,72
recalibrated,deepseek/deepseek-v4-flash,1065,0.9972,0.6977,0.3014,0.0019,1062,321
recalibrated,google/gemini-3.7-flash,1065,0.7061,0.8138,0.1315,0.2366,752,140
recalibrated,openai/gpt-5.6-luna,1065,1.0,0.6986,0.3014,0.0,1065,321
recalibrated,z-ai/glm-5.3-flash,1065,0.6939,0.8011,0.138,0.1737,739,147
