coverage,conditional_fidelity,parse_failure,unfaithful_of_all,n_episodes,n_executed,n_unfaithful,model,cell
1.0,0.6985915492957746,0.0,0.30140845070422534,1065,1065,321,__none__,nonllm_gate
1.0,0.6985915492957746,0.0,0.30140845070422534,1065,1065,321,__none__,random_gate
0.54,0.7962962962962963,0.1,0.11,500,270,55,anthropic/claude-sonnet-5,factorial:decoder_confidence:advisory:s0
0.984,0.6951219512195121,0.004,0.3,500,492,150,anthropic/claude-sonnet-5,factorial:decoder_confidence:enforced:s0
0.994,0.6981891348088531,0.006,0.3,500,497,150,anthropic/claude-sonnet-5,factorial:none:advisory:s0
0.99,0.696969696969697,0.01,0.3,500,495,150,anthropic/claude-sonnet-5,oracle
0.996244131455399,0.6993402450518379,0.0028169014084507044,0.2995305164319249,1065,1061,319,deepseek/deepseek-v4-flash,factorial:decoder_confidence:advisory:s0
0.9990610328638497,0.6992481203007519,0.0,0.3004694835680751,1065,1064,320,deepseek/deepseek-v4-flash,factorial:decoder_confidence:enforced:s0
0.9971830985915493,0.6986817325800376,0.0028169014084507044,0.3004694835680751,1065,1062,320,deepseek/deepseek-v4-flash,factorial:none:advisory:s0
0.9953051643192489,0.6981132075471698,0.004694835680751174,0.3004694835680751,1065,1060,320,deepseek/deepseek-v4-flash,oracle
0.6234741784037559,0.8629518072289156,0.307981220657277,0.08544600938967137,1065,664,91,google/gemini-3.7-flash,factorial:decoder_confidence:advisory:s0
1.0,0.6985915492957746,0.0,0.30140845070422534,1065,1065,321,google/gemini-3.7-flash,factorial:decoder_confidence:enforced:s0
1.0,0.6985915492957746,0.0,0.30140845070422534,1065,1065,321,google/gemini-3.7-flash,factorial:none:advisory:s0
1.0,0.6985915492957746,0.0,0.30140845070422534,1065,1065,321,google/gemini-3.7-flash,oracle
0.9981220657276996,0.6989651928504234,0.0,0.3004694835680751,1065,1063,320,openai/gpt-5.6-luna,factorial:decoder_confidence:advisory:s0
1.0,0.6985915492957746,0.0,0.30140845070422534,1065,1065,321,openai/gpt-5.6-luna,factorial:decoder_confidence:enforced:s0
1.0,0.6985915492957746,0.0,0.30140845070422534,1065,1065,321,openai/gpt-5.6-luna,factorial:none:advisory:s0
1.0,0.6985915492957746,0.0,0.30140845070422534,1065,1065,321,openai/gpt-5.6-luna,oracle
0.6131455399061033,0.8361408882082695,0.2056338028169014,0.10046948356807511,1065,653,107,z-ai/glm-5.3-flash,factorial:decoder_confidence:advisory:s0
0.996244131455399,0.6974552309142319,0.003755868544600939,0.30140845070422534,1065,1061,321,z-ai/glm-5.3-flash,factorial:decoder_confidence:enforced:s0
0.9943661971830986,0.6997167138810199,0.004694835680751174,0.29859154929577464,1065,1059,318,z-ai/glm-5.3-flash,factorial:none:advisory:s0
0.996244131455399,0.6983977379830348,0.0028169014084507044,0.3004694835680751,1065,1061,320,z-ai/glm-5.3-flash,oracle
