model,uncertainty_source,n,coverage,unsafe_rate_bare,risk_among_acted,n_executed,n_unfaithful,n_gate_episodes,nonllm_risk_at_matched_coverage,beats_nonllm_gate,matched_gap,matched_gap_lo,matched_gap_hi,enforced_risk_at_matched_coverage,beats_own_enforced_frontier
anthropic/claude-sonnet-5,none,500,0.994,0.3,0.30181086519114686,497,150,500,0.2977867203219316,False,0.004024144869215263,-2.515391606833228e-06,0.01059329713142616,,
anthropic/claude-sonnet-5,decoder_confidence,500,0.54,0.11,0.2037037037037037,270,55,500,0.11666140824977023,False,0.08704229545393347,0.04182035202277392,0.14870042090386798,0.11851851851851852,False
deepseek/deepseek-v4-flash,none,1065,0.9971830985915493,0.3004694835680751,0.3013182674199623,1062,320,1065,0.300376647834275,False,0.0009416195856873366,-0.0009775171065493637,0.0036265555250241314,,
deepseek/deepseek-v4-flash,decoder_confidence,1065,0.996244131455399,0.2995305164319249,0.3006597549481621,1061,319,1065,0.2997172478793591,False,0.0009425070688030002,-0.001773546449479936,0.0035725860126207304,0.2997172478793591,False
google/gemini-3.7-flash,none,1065,1.0,0.30140845070422534,0.30140845070422534,1065,321,1065,0.30140845070422534,False,0.0,0.0,0.0,,
google/gemini-3.7-flash,decoder_confidence,1065,0.6234741784037559,0.08544600938967137,0.13704819277108435,664,91,1065,0.13102409638554216,False,0.006024096385542188,-6.832369358077124e-07,0.01609985589238496,0.13102409638554216,False
openai/gpt-5.6-luna,none,1065,1.0,0.30140845070422534,0.30140845070422534,1065,321,1065,0.30140845070422534,False,0.0,0.0,0.0,,
openai/gpt-5.6-luna,decoder_confidence,1065,0.9981220657276996,0.3004694835680751,0.30103480714957664,1063,320,1065,0.30103480714957664,False,0.0,-0.0010384485851775746,0.002193990367711279,0.30103480714957664,False
z-ai/glm-5.3-flash,none,1065,0.9943661971830986,0.29859154929577464,0.3002832861189802,1059,318,1065,0.2993383742911153,False,0.0009449118278648805,-0.0018018424195159809,0.004369092291118775,,
z-ai/glm-5.3-flash,decoder_confidence,1065,0.6131455399061033,0.10046948356807511,0.1638591117917305,653,107,1065,0.12404287901990811,False,0.03981623277182238,0.01678557026363164,0.06296368666839237,0.12557427258805512,False
