arm_name,threshold,coverage,risk,n_covered
fair:exact_resolver_gate,0.0,0.66,0.0,132
fair:exact_resolver_gate,0.01,0.66,0.0,132
fair:exact_resolver_gate,0.02,0.66,0.0,132
fair:exact_resolver_gate,0.03,0.66,0.0,132
fair:exact_resolver_gate,0.04,0.66,0.0,132
fair:exact_resolver_gate,0.05,0.66,0.0,132
fair:exact_resolver_gate,0.06,0.66,0.0,132
fair:exact_resolver_gate,0.07,0.66,0.0,132
fair:exact_resolver_gate,0.08,0.66,0.0,132
fair:exact_resolver_gate,0.09,0.66,0.0,132
fair:exact_resolver_gate,0.1,0.66,0.0,132
fair:exact_resolver_gate,0.11,0.66,0.0,132
fair:exact_resolver_gate,0.12,0.66,0.0,132
fair:exact_resolver_gate,0.13,0.66,0.0,132
fair:exact_resolver_gate,0.14,0.66,0.0,132
fair:exact_resolver_gate,0.15,0.66,0.0,132
fair:exact_resolver_gate,0.16,0.66,0.0,132
fair:exact_resolver_gate,0.17,0.66,0.0,132
fair:exact_resolver_gate,0.18,0.66,0.0,132
fair:exact_resolver_gate,0.19,0.645,0.0,129
fair:exact_resolver_gate,0.2,0.64,0.0,128
fair:exact_resolver_gate,0.21,0.64,0.0,128
fair:exact_resolver_gate,0.22,0.64,0.0,128
fair:exact_resolver_gate,0.23,0.64,0.0,128
fair:exact_resolver_gate,0.24,0.635,0.0,127
fair:exact_resolver_gate,0.25,0.63,0.0,126
fair:exact_resolver_gate,0.26,0.63,0.0,126
fair:exact_resolver_gate,0.27,0.63,0.0,126
fair:exact_resolver_gate,0.28,0.61,0.0,122
fair:exact_resolver_gate,0.29,0.6,0.0,120
fair:exact_resolver_gate,0.3,0.6,0.0,120
fair:exact_resolver_gate,0.31,0.6,0.0,120
fair:exact_resolver_gate,0.32,0.595,0.0,119
fair:exact_resolver_gate,0.33,0.595,0.0,119
fair:exact_resolver_gate,0.34,0.59,0.0,118
fair:exact_resolver_gate,0.35000000000000003,0.585,0.0,117
fair:exact_resolver_gate,0.36,0.585,0.0,117
fair:exact_resolver_gate,0.37,0.585,0.0,117
fair:exact_resolver_gate,0.38,0.585,0.0,117
fair:exact_resolver_gate,0.39,0.585,0.0,117
